date,close,bsadf_score,log_return,rsi,macd,macd_signal,macd_hist,label,rolling_mean,rolling_std,zscore_value,ticker_id,gdp_growth,cpi_inflation,repo_rate
2008-08-20,4415.75,-2.209808312885019,0.010815223816405,51.8650404444085,48.37751037118778,57.74775414043489,-9.37024376924711,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-21,4283.85009765625,-2.124053851637442,-0.0303255342901458,44.856656740762766,32.79635322231661,52.75747395681124,-19.961120734494628,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-22,4327.4501953125,-2.166958191795356,0.0101263383565805,47.38746948216858,23.69321677088101,46.9446225196252,-23.25140574874419,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-25,4335.35009765625,-2.180565797568541,0.0018238685567018,47.85445463930501,16.921313279133756,40.93996067152691,-24.01864739239316,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-26,4337.5,-2.1898322448582204,0.0004957775964252,47.989750502326544,11.594357587618106,35.07084005474515,-23.47648246712704,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-27,4292.10009765625,-2.162542305697173,-0.0105219988621598,45.31589034750416,3.667042741059049,28.79008059200793,-25.12303785094888,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-28,4214.0,-2.101687401340915,-0.0183638310288204,41.0759552284214,-8.815813350516692,21.26890180350301,-30.084715154019698,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-08-29,4360.0,-2.2312072168983463,0.0340597419789455,50.41576938447604,-6.848640050748145,15.645393432652778,-22.494033483400923,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-09-01,4348.64990234375,-2.231210842355826,-0.0026066277115404,49.75550443476958,-6.134781124069377,11.289358521308348,-17.424139645377725,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
2008-09-02,4504.0,-2.328789884437616,0.0351004611879867,57.885339954031785,6.887022476237689,10.408891312294216,-3.5218688360565267,Normal,,,,NIFTY50,3.08669805921981,8.34926704907581,8.5
